id,question,answer,category
1,How do I file a car insurance claim?,"Notify the insurer, provide incident details, submit required documents, and cooperate with claim assessment. This entry is part of a synthetic insurance knowledge corpus variant 1.",Claims
2,What documents are needed for a health insurance claim?,"Typically an ID, policy number, hospital records, bills, and claim form are required. This entry is part of a synthetic insurance knowledge corpus variant 2.",Claims
3,How long does claim settlement take?,The timeline varies by insurer and claim type but generally depends on document verification and investigation. This entry is part of a synthetic insurance knowledge corpus variant 3.,Claims
4,Can I track my insurance claim status online?,Many insurers provide online claim tracking through their customer portal or mobile app. This entry is part of a synthetic insurance knowledge corpus variant 4.,Claims
5,What is a deductible?,A deductible is the amount the policyholder pays before insurance coverage begins for eligible claims. This entry is part of a synthetic insurance knowledge corpus variant 5.,Policy
6,What is a policy premium?,A premium is the amount paid periodically to keep an insurance policy active. This entry is part of a synthetic insurance knowledge corpus variant 6.,Policy
7,What is a waiting period in health insurance?,It is the time after policy purchase during which certain benefits are not yet available. This entry is part of a synthetic insurance knowledge corpus variant 7.,Policy
8,Can I cancel my insurance policy?,"Most policies can be cancelled subject to the insurer's terms, applicable fees, and local regulations. This entry is part of a synthetic insurance knowledge corpus variant 8.",Policy
9,Does home insurance cover floods?,Standard policies often exclude floods unless flood coverage is purchased separately. This entry is part of a synthetic insurance knowledge corpus variant 9.,Coverage
10,Does travel insurance cover lost baggage?"Many travel policies include baggage loss protection up to specified limits and conditions. This entry is part of a synthetic insurance knowledge corpus variant 10.,Coverage
11,Are pre-existing conditions covered?,Coverage depends on the policy; some exclude them while others cover them after waiting periods. This entry is part of a synthetic insurance knowledge corpus variant 11.,Coverage
12,Does comprehensive auto insurance cover theft?,Comprehensive coverage often includes theft subject to policy conditions and deductibles. This entry is part of a synthetic insurance knowledge corpus variant 12.,Coverage
13,Can I pay premiums monthly?,"Many insurers offer monthly, quarterly, or annual payment options. This entry is part of a synthetic insurance knowledge corpus variant 13.",Billing
14,What happens if I miss a premium payment?,Coverage may lapse after any grace period if payment is not received. This entry is part of a synthetic insurance knowledge corpus variant 14.,Billing
15,Can I update my payment method?,"Yes, most insurers allow payment method updates through customer service or online accounts. This entry is part of a synthetic insurance knowledge corpus variant 15.",Billing
16,Will I receive premium receipts?,Insurers generally issue receipts or payment confirmations after successful transactions. This entry is part of a synthetic insurance knowledge corpus variant 16.,Billing
